class,recall,precision
11 IVR,1.0,0.03076923076923077
11 IVR,1.0,0.03125
11 IVR,1.0,0.031746031746031744
11 IVR,1.0,0.03225806451612903
11 IVR,1.0,0.03278688524590164
11 IVR,1.0,0.03333333333333333
11 IVR,1.0,0.03389830508474576
11 IVR,1.0,0.034482758620689655
11 IVR,1.0,0.03508771929824561
11 IVR,1.0,0.03571428571428571
11 IVR,1.0,0.03636363636363636
11 IVR,1.0,0.037037037037037035
11 IVR,1.0,0.03773584905660377
11 IVR,1.0,0.038461538461538464
11 IVR,1.0,0.0392156862745098
11 IVR,1.0,0.04
11 IVR,1.0,0.04081632653061224
11 IVR,1.0,0.041666666666666664
11 IVR,1.0,0.0425531914893617
11 IVR,1.0,0.043478260869565216
11 IVR,1.0,0.044444444444444446
11 IVR,1.0,0.045454545454545456
11 IVR,1.0,0.046511627906976744
11 IVR,1.0,0.04878048780487805
11 IVR,1.0,0.05
11 IVR,1.0,0.05128205128205128
11 IVR,1.0,0.05263157894736842
11 IVR,1.0,0.05405405405405406
11 IVR,1.0,0.05555555555555555
11 IVR,1.0,0.05714285714285714
11 IVR,1.0,0.058823529411764705
11 IVR,1.0,0.06060606060606061
11 IVR,1.0,0.0625
11 IVR,1.0,0.06451612903225806
11 IVR,1.0,0.06666666666666667
11 IVR,1.0,0.06896551724137931
11 IVR,1.0,0.07142857142857142
11 IVR,1.0,0.07407407407407407
11 IVR,1.0,0.07692307692307693
11 IVR,1.0,0.08
11 IVR,1.0,0.08333333333333333
11 IVR,1.0,0.08695652173913043
11 IVR,1.0,0.09090909090909091
11 IVR,1.0,0.09523809523809523
11 IVR,1.0,0.1
11 IVR,1.0,0.10526315789473684
11 IVR,1.0,0.1111111111111111
11 IVR,1.0,0.11764705882352941
11 IVR,1.0,0.125
11 IVR,1.0,0.13333333333333333
11 IVR,1.0,0.14285714285714285
11 IVR,1.0,0.15384615384615385
11 IVR,1.0,0.16666666666666666
11 IVR,1.0,0.18181818181818182
11 IVR,1.0,0.2
11 IVR,1.0,0.2222222222222222
11 IVR,1.0,0.25
11 IVR,1.0,0.2857142857142857
11 IVR,1.0,0.3333333333333333
11 IVR,1.0,0.4
11 IVR,1.0,0.5
11 IVR,0.5,0.3333333333333333
11 IVR,0.5,0.5
11 IVR,0.5,1.0
11 IVR,0.0,1.0
12 VFL,1.0,0.01
12 VFL,1.0,0.010050251256281407
12 VFL,1.0,0.010101010101010102
12 VFL,1.0,0.01015228426395939
12 VFL,1.0,0.01020408163265306
12 VFL,1.0,0.010256410256410256
12 VFL,1.0,0.010309278350515464
12 VFL,1.0,0.010362694300518135
12 VFL,1.0,0.010416666666666666
12 VFL,1.0,0.010471204188481676
12 VFL,1.0,0.010526315789473684
12 VFL,1.0,0.010582010582010581
12 VFL,1.0,0.010638297872340425
12 VFL,1.0,0.0106951871657754
12 VFL,1.0,0.010752688172043012
12 VFL,1.0,0.010810810810810811
12 VFL,1.0,0.010869565217391304
12 VFL,1.0,0.01092896174863388
12 VFL,1.0,0.01098901098901099
12 VFL,1.0,0.011049723756906077
12 VFL,1.0,0.011111111111111112
12 VFL,1.0,0.0111731843575419
12 VFL,1.0,0.011235955056179775
12 VFL,1.0,0.011299435028248588
12 VFL,1.0,0.011363636363636364
12 VFL,1.0,0.011428571428571429
12 VFL,1.0,0.011494252873563218
12 VFL,1.0,0.011560693641618497
12 VFL,1.0,0.011627906976744186
12 VFL,1.0,0.011695906432748537
12 VFL,1.0,0.011764705882352941
12 VFL,1.0,0.011834319526627219
12 VFL,1.0,0.011904761904761904
12 VFL,1.0,0.011976047904191617
12 VFL,1.0,0.012048192771084338
12 VFL,1.0,0.012121212121212121
12 VFL,1.0,0.012195121951219513
12 VFL,1.0,0.012269938650306749
12 VFL,1.0,0.012345679012345678
12 VFL,1.0,0.012422360248447204
12 VFL,1.0,0.0125
12 VFL,1.0,0.012578616352201259
12 VFL,1.0,0.012658227848101266
12 VFL,1.0,0.012738853503184714
12 VFL,1.0,0.01282051282051282
12 VFL,1.0,0.012903225806451613
12 VFL,1.0,0.012987012987012988
12 VFL,1.0,0.013071895424836602
12 VFL,1.0,0.013157894736842105
12 VFL,1.0,0.013245033112582781
12 VFL,1.0,0.013333333333333334
12 VFL,1.0,0.013422818791946308
12 VFL,1.0,0.013513513513513514
12 VFL,1.0,0.013605442176870748
12 VFL,1.0,0.0136986301369863
12 VFL,1.0,0.013793103448275862
12 VFL,1.0,0.013888888888888888
12 VFL,1.0,0.013986013986013986
12 VFL,1.0,0.014084507042253521
12 VFL,1.0,0.014184397163120567
12 VFL,1.0,0.014285714285714285
12 VFL,1.0,0.014388489208633094
12 VFL,1.0,0.014492753623188406
12 VFL,1.0,0.014598540145985401
12 VFL,1.0,0.014705882352941176
12 VFL,1.0,0.014814814814814815
12 VFL,1.0,0.014925373134328358
12 VFL,1.0,0.015037593984962405
12 VFL,1.0,0.015151515151515152
12 VFL,1.0,0.015267175572519083
12 VFL,1.0,0.015384615384615385
12 VFL,1.0,0.015503875968992248
12 VFL,1.0,0.015625
12 VFL,1.0,0.015748031496062992
12 VFL,1.0,0.015873015873015872
12 VFL,1.0,0.016
12 VFL,1.0,0.016129032258064516
12 VFL,1.0,0.016260162601626018
12 VFL,1.0,0.01639344262295082
12 VFL,1.0,0.01652892561983471
12 VFL,1.0,0.016666666666666666
12 VFL,1.0,0.01680672268907563
12 VFL,1.0,0.01694915254237288
12 VFL,1.0,0.017241379310344827
12 VFL,1.0,0.017391304347826087
12 VFL,1.0,0.017543859649122806
12 VFL,1.0,0.017699115044247787
12 VFL,1.0,0.017857142857142856
12 VFL,1.0,0.018018018018018018
12 VFL,1.0,0.01818181818181818
12 VFL,1.0,0.01834862385321101
12 VFL,1.0,0.018518518518518517
12 VFL,1.0,0.018691588785046728
12 VFL,1.0,0.01904761904761905
12 VFL,1.0,0.019230769230769232
12 VFL,1.0,0.019417475728155338
12 VFL,1.0,0.0196078431372549
12 VFL,1.0,0.019801980198019802
12 VFL,1.0,0.02
12 VFL,1.0,0.020202020202020204
12 VFL,1.0,0.02040816326530612
12 VFL,1.0,0.020618556701030927
12 VFL,1.0,0.020833333333333332
12 VFL,1.0,0.021052631578947368
12 VFL,1.0,0.02127659574468085
12 VFL,1.0,0.021505376344086023
12 VFL,1.0,0.021739130434782608
12 VFL,1.0,0.02197802197802198
12 VFL,1.0,0.022222222222222223
12 VFL,1.0,0.02247191011235955
12 VFL,1.0,0.022727272727272728
12 VFL,1.0,0.022988505747126436
12 VFL,1.0,0.023255813953488372
12 VFL,1.0,0.023529411764705882
12 VFL,1.0,0.023809523809523808
12 VFL,1.0,0.024096385542168676
12 VFL,1.0,0.024390243902439025
12 VFL,1.0,0.024691358024691357
12 VFL,1.0,0.025
12 VFL,1.0,0.02531645569620253
12 VFL,1.0,0.02564102564102564
12 VFL,1.0,0.025974025974025976
12 VFL,1.0,0.02631578947368421
12 VFL,1.0,0.02666666666666667
12 VFL,1.0,0.02702702702702703
12 VFL,1.0,0.0273972602739726
12 VFL,1.0,0.027777777777777776
12 VFL,1.0,0.028169014084507043
12 VFL,1.0,0.02857142857142857
12 VFL,1.0,0.028985507246376812
12 VFL,1.0,0.029411764705882353
12 VFL,1.0,0.029850746268656716
12 VFL,1.0,0.030303030303030304
12 VFL,1.0,0.03076923076923077
12 VFL,1.0,0.03125
12 VFL,1.0,0.031746031746031744
12 VFL,1.0,0.03225806451612903
12 VFL,1.0,0.03278688524590164
12 VFL,1.0,0.03333333333333333
12 VFL,1.0,0.03389830508474576
12 VFL,1.0,0.034482758620689655
12 VFL,1.0,0.03508771929824561
12 VFL,1.0,0.03571428571428571
12 VFL,1.0,0.03636363636363636
12 VFL,1.0,0.037037037037037035
12 VFL,1.0,0.03773584905660377
12 VFL,1.0,0.038461538461538464
12 VFL,1.0,0.0392156862745098
12 VFL,1.0,0.04
